"Paper_ID";"DOI";"Title"
"1";1;"10.1007/s10021-008-9158-8";"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland"
"2";2;"10.1139/f03-019";"Influence of streamside vegetation on inputs of terrestrial invertebrates to salmonid food webs"
"3";3;"10.1111/eff.12029";"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon"
"4";4;"10.1071/MF07191";"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets"
"5";5;"10.1890/04-138";"Fish invasion restructures stream and forest food webs by interrupting reciprocal prey subsidies"
"6";6;"10.1007/s00442-007-0743-x";"Invading rainbow trout usurp a terrestrial prey subsidy from native charr and reduce their growth and abundance"
"7";7;"10.1046/j.1365-2427.1996.00080.x";"The energetic importance of terrestrial arthropod inputs to three warm-water streams"
"8";8;"10.1899/0887-3593(2006)25[198:EODTOC]2.0.CO/2";"Effects of different types of conditioning on rates of leaf-litter shredding by Xiphocariselongata, a Neotropical freshwater shrimp"
"9";9;"10.1080/00288330.1995.9516680";"Annual contribution of terrestrial invertebrates to a New Zealand trout stream"
"10";10;"10.1007/s11284-006-0060-6";"Linking stream habitats and spider distribution: spatial variations in trophic transfer across a forest_stream boundary"
"11";11;"10.1034/j.1600-0587.2003.03355.x";"Stream meanders increase insectivorous bird abundance in riparian deciduous forests"
"12";12;"0.1007/s10750-010-0404-7";"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient"
"13";13;"";"Effects of resource limitation on a detrital-based ecosystem"
"14";14;"10.1007/BF00258283";"Input and storage of benthic detritus in an Alaskan subarctic stream"
"15";15;"";"Organic Matter Dynamics in 5 Subarctic Streams, Quebec, Canada"
"16";16;"";"Hydrologic and Riparian Influences on the Import and Storage of Coarse Particulate Organic Matter in a Prairie Stream"
"17";17;"10.1016/j.materresbull.2012.08.034";"Production de litiere de la ripisylve de la Garonne et apport au fleuve"
"18";18;"";"Carbon flow in a tundra stream ecosystem"
"19";19;"10.1111/j.1440-1703.2004.00678.x";"Prey use by web-building spiders: stable isotope analyses of trophic flow at a forest-stream ecotone"
"20";20;"10.4319/lo.1976.21.2.0253";"Airborne litterfall as a source of organic matter in lakes"
"21";21;"10.1674/0003-0031-168.1.112";"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains"
"22";22;"10.1890/0012-9658(2003)084[0701:TIIDTL]2.0.CO/2";"Terrestrial invertebrate inputs determine the local abundance of stream fishes in a forested stream"
"23";23;"10.1890/14-0704.1";"Quantifying aquatic insect deposition from lake to land"
"24";24;"10.1111/j.1744-7429.2012.00896.x";"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems"
"25";25;"10.1111/j.1752-1688.2005.tb03777.x";"Organic Matter Dynamics in small streams of the Pacific Northwest"
"26";26;"10.1899/12-074.1";"Riparian litter inputs to streams in the central Oregon Coast Range"
"27";27;"10.1890/11-1700.1";"An invasive riparian tree reduces stream ecosystem efficiency via a recalcitrant organic matter subsidy"
"28";28;"10.1002/rra.1431";"Regulation leads to increases in riparian vegetation, but not direct allochthonous inputs, along the Colorado River in Grand Canyon, Arizona"
"29";29;"10.1139/f84-181";"Particulate Allochthonous Inputs: Relationships with Stream Size in an Undisturbed Watershed"
"30";30;"";"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream"
"31";31;"10.1046/j.1365-2427.2001.00667.x";"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream"
"32";32;"10.2307/1942301";"Energy Flow in Bear Brook, New Hampshire: An Integrative Approach to Stream Ecosystem Metabolism"
"33";33;"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS"
"34";34;"10.1111/j.1365-2427.2008.02073.x";"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds"
"35";35;"10.1111/j.1523-1739.2006.00443.x";"Remarkable Amphibian Biomass and Abundance in an Isolated Wetland: Implications for Wetland Conservation"
"36";36;"10.1007/s00442-013-2592-0";"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies."
"37";37;"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois"
"38";38;"10.2307/1468050";"Emergence of Aquatic Insects from 2 Habitats in a Small Wetland of the Southeastern USA: Temporal Patterns of Numbers and Biomass"
"39";39;"10.2307/3672158";"Emergence production and export of aquatic insects from a tallgrass prairie stream"
"40";40;"10.2307/1468385";"Life history and production of a semi-terrestrial limnephilid caddisfly in an intermittent Platte River wetland"
"41";41;"10.2307/1939199";"Longitudinal patterns of ecosystem processes and community structure in a subartic river continuum"
"42";42;"10.1046/j.1365-2427.2000.00558.x";"Benthic secondary production and biomass of insects emerging from a northern German temperate stream"
"43";43;"10.1034/j.1600-0706.2003.12477.x";"Dynamics of aquatic insect flux affects distribution of riparian web-building spiders"
"44";44;"10.1016/j.limno.2014.10.001";"Aquatic prey subsidies to riparian spiders in a stream with different land use types"
"45";45;"10.1111/fwb.12476";"Land-use effects on terrestrial consumers through changed size structure of aquatic insects"
"46";46;"10.2307/1468225";"Organic matter dynamics in the Kuparuk River, a tundra river in Alaska, USA"
"47";47;"10.2307/1468226";"Organic matter dynamics in 3 subarctic streams of interior Alaska, USA"
"48";48;"10.2307/1468235";"Organic Matter Dynamics in the West Fork of Walker Branch, Tennessee, USA"
"49";49;"10.1111/j.1365-2427.1982.tb00624.x";"The input of terrestrial invertebrates from tree canopies to a stream"
"50";50;"10.4319/lo.2010.55.2.0817";"Drivers of metabolism and net heterotrophy in contrasting lakes"
"51";51;"10.4319/lo.2002.47.3.0742";"Relative importance of carbon sources for macroinvertebrates in a Rocky Mountain stream"
"52";52;"10.1046/j.1365-2427.2001.00847.x";"Particulate organic matter inputs to a glacial stream ecosystem in the Swiss Alps"
"53";53;"10.1111/j.1442-9993.1993.tb00465.x";"Litter inputs to a tropical Australian rainforest stream"
"54";54;"10.1007/s10750-008-9294-3";"Allochthonous litter inputs, organic matter standing stocks, and organic seston dynamics in upland Panamanian streams: potential effects of larval amphibians on organic matter dynamics"
"55";55;"10.2307/2937276";"Organic Carbon Flow in a Swamp-Stream Ecosystem"
"56";56;"10.1007/s11284-011-0920-6";"Reciprocal fluxes of stream and riparian invertebrates in a coastal California basin with Mediterranean climate"
"57";57;"10.1899/07-134.1";"Modeling C and N flows through a stream food web: an inverse approach"
"58";58;"doi:10.1016/B978-012088449-0.50005-4";"Organic Matter Processing in Tropical Streams"
"59";59;"10.1071/MF08247";"Composition and dynamics of allochthonous organic matter inputs and benthic stock in a Brazilian stream"
"60";60;"10.1111/j.1365-2427.2004.01239.x";"Flow extremes and benthic organic matter shape the metabolism of a headwater Mediterranean stream"
"61";61;"10.1111/j.1365-2427.2006.01620.x";"Bacterial production in the carbon flow of a central European stream, the Breitenbach"
"62";62;"10.4319/lo.2012.57.4.1048";"Terrestrial organic matter support of lake food webs: Evidence from lake metabolism and stable hydrogen isotopes of consumers"
"63";63;"10.1016/S0304-3770(96)01064-10";"A partial budget of primary organic carbon flows in the littoral zone of a hardwater lake"
"64";64;"10.1111/fwb.12474";"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa"
"65";65;"10.1111/fwb.12642";"Shifts in reciprocal river-riparian arthropod fluxes along an urban-rural landscape gradient"
"66";66;"10.1007/s00442-013-2643-6";"Leaf litter quality affects aquatic insect emergence: Contrasting patterns from two foundation trees"
"67";67;"10.1890/08-1546.1";"Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems"
"68";68;"10.1371/journal.pone.0036462";"Forest-stream linkages: Effects of terrestrial invertebrate input and light on diet and growth of brown trout (salmo trutta) in a boreal forest stream"
"69";69;"10.1007/s10641-014-0250-y";"Woody debris and terrestrial invertebrates _ effects on prey resources for brown trout (Salmo trutta) in a boreal stream"
"70";70;"10.1016/j.scitotenv.2016.10.156";"Cross-ecosystem fluxes: Export of polyunsaturated fatty acids from aquatic to terrestrial ecosystems via emerging insects"
"71";71;"10.1899/08-038.1";"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems"
"72";72;"10.1134/S199542551604003X";"Fluxes of biomass and essential polyunsaturated fatty acids from water to land via chironomid emergence from a mountain lake"
"73";73;"10.1080/02705060.2004.9664522";"Magnitude and fate of salmon-derived nutrients and energy in a coastal stream ecosystem"
"74";74;"10.1139/F03-172";"Effects of the abundance of spawning sockeye salmon ( Oncorhynchus nerka ) on nutrients and algal biomass in forested streams"
"75";75;"10.1139/F03-045";"Density-dependent predation by brown bears ( Ursus arctos ) on sockeye salmon ( Oncorhynchus nerka )"
"76";76;"10.1139/f92-038";"Coarse particulate detritus dynamics in small, montane streams of southwestern British Columbia"
"77";77;"10.1023/A:1003037200703";"The macrobenthos of the pristine stream, Skiftessaa, HËylandet, Norway"
"78";78;"10.1134/S1995425516040107";"Emergence of amphibiotic insects from a floodplain lake in the Usman Forest in the Central Russian forest steppe"
"79";79;"";"Emergence of Trichoptera from Findley Lake and two ponds in the coniferous forest of the Cascade Mountains, USA"
"80";80;"";"Macrobenthos. In: Hobbie et al. Limnology of tundra ponds: Barrow, Alaska "
"81";81;"10.1111/oik.01524";"Boomerang ecosystem fluxes: Organic carbon inputs from land to lakes are returned to terrestrial food webs via aquatic insects"
"82";82;"";"Dispersal of Terrestrial Plant Litter into a Subalpine Lake"
"83";83;"10.1007/s00027-008-8074-5";"Airborne carbon deposition on a remote forested lake"
"84";84;"10.1134/S1995425516040053";"Substance and energy flows formed by the emergence of amphibiotic insects across the water_air boundary on the floodplain lakes of the Volga River"
"85";85;"10.1007/s10021-008-9194-4";"Periodical cicada detritus impacts stream ecosystem metabolism"
"86";86;"10.1139/cjfas-2015-0548";"Invasive European bird cherry (Prunus padus) reduces terrestrial prey subsidies to urban Alaskan salmon streams"
"87";87;"10.1007/s00027-013-0320-9";"How hydroperiod and species richness affect the balance of resource flows across aquatic-terrestrial habitats"
"88";88;"10.1073/pnas.1614778114";"Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River"
"89";89;"10.1080/03680770.1983.11897578";"The influence of beaver (Castor canadensis) on the production dynamics of aquatic insects"
"90";90;"10.2307/1942458";"Nitrogen budget for a small coniferous forest stream"
"91";91;"10.1111/fwb13130";"Amphibian-mediated nutrient fluxes accros aquatic-terrestrial boundaries of temporary wetlands"
"92";92;"10.1139/f97-034";"Terrestrial invertebrates as salmonid prey and nitrogen sources in streams: contrasting old-growth and young-growth riparian forests in southeastern Alaska, U.S.A"
"93";93;"10.2307/1467430";"Seasonal and storm dynamics of the hyporheic zone of a 4th-order mountain stream. II: Nitrogen cycling"
"94";94;"10.1111/j.1442-9993.1993.tb00465.x";"Litter Inputs To a Tropical Australian Rain-Forest Stream"
"95";95;"10.1007/s00442-009-1489-4";"Deviation from strict homeostasis across multiple trophic levels in an invertebrate consumer assemblage exposed to high chronic phosphorus enrichment in a neotropical stream"
"96";96;"10.1139/cjz-2014-0141";"Abundance, biomass production, nutrient content, and the possible role of terrestrial salamanders in Missouri Ozark forest ecosystems"
"97";97;"10.1111/j.1365-2427.2012.02740.x";"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition"
"98";98;"10.1111/j.1365-2486.2008.01781.x";"Controls on long-term root and leaf litter decomposition in neotropical forests"
"99";99;"10.1899/06-113.1";"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river"
"100";100;"";"Recycling of marine elements trans- ported into freshwater systems by anadromous salmon"
"101";101;"";"Effects of alewife spawning migrations"
"102";102;"10.1016/j.geoderma.2007.10.016";"Redistributed lacustrine detritus as a spatial subsidy of biological resources for soils in an Antarctic dry valley"
"103";103;"10.1002/iroh.200911173";"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders"
"104";104;"10.1111/j.1365-2427.2006.01515.";"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?"
"105";105;"10.2307/2260228";"Litterfall and Decomposition Processes in the Coastal Fynbos Vegetation, South-Western Cape, South Africa"
"106";106;"10.1007/s11104-007-9272-y";"Foliar decomposition in a broadleaf-mixed Korean pine (Pinus koraiensis Sieb. et Zucc) plantation forest: The impact of initial litter quality and the decomposition of three kinds of organic matter fraction on mass loss and nutrient release rates"
"107";107;"10.2136/sssaj2008.0111";"Boreal Mixed-Wood Watershed Riparian Zone Cation Cycling during Two Contrasting Climatic Years"
"108";108;"10.1007/BF00032137";"Phosphorus, nitrogen, and carbon cycling by fish populations in two small lowland rivers in Poland"
"109";109;"10.1007/s10750-015-2302-5";"Decomposition of sea lamprey Petromyzon marinus carcasses: temperature effects, nutrient dynamics, and implications for stream food webs"
"110";110;"10.1007/s00442-013-2860-z";"Differing nutritional constraints of consumers across ecosystems"
"111";111;"10.1046/j.1461-0248.2003.00481.x";"Consumer-resource stoichiometry in detritus-based streams"
"112";112;"10.1111/j.1365-2427.2008.02138.x";"Resource quality and stoichiometric constraints on stream ecosystem functioning"
"113";113;"10.2307/1467977";"Elemental composition of littoral invertebrates from oligotrophic and eutrophic Canadian lakes"
"114";114;"10.1007/s11104-009-0214-8";"Soil nitrogen cycling rates in low arctic shrub tundra are enhanced by litter feedbacks"
"115";115;"10.1111/j.1466-8238.2009.00474.x";"Global trends in senesced-leaf nitrogen and phosphorus"
